date,location,aircraft_brand,no_deaths
22-01-2010,"Off Sand Point, AlaskaAlaska Central Express",Beechcraft,2
25-01-2010,"Off Na'ameh, LebanonEthiopian Airlines",Boeing,90
25-01-2010,"Near Senador Jose Porfírio, BrazilPiquiatuba Taxi Aereo",Embraer,2
28-01-2010,"Cotabato City, PhilippinesMilitary - Philippine Air Force",GAF,8
14-02-2010,"Near Saada, YemenMilitary - Yemeni Arm",Helicopter?,11
10-04-2010,"Smolensk, RussiaMilitary - Polish Air Force",Tupolev,96
10-04-2010,"Near Yelizovo, RussiaKamchatka Airlines",Mi-8?,10
13-04-2010,"Monterey, MexicoAirborne Freight Company Union",Airbus,5
21-04-2010,"Pampanga, PhilippinesInterisland Airlines",Antonov,3
12-05-2010,"Tripoli, LibyaAfriqiyah Airways",Airbus,103
15-05-2010,"Near Poeketi, SurinameBlue Wings Airlines",Antonv,8
17-05-2010,"Salang pass, AfghanistanPamir Airlines",Antonv,44
22-05-2010,"Mangalore, IndiaAir India Express",Boeing,159
19-06-2010,"Yangadou, CameroonAero Service",CASA,11
23-06-2010,"Quebec, CanadaAéropro",Beechcraft,7
05-07-2010,"Tuzla, RomaniaMilitary - Romainian Air Force",Antonov,12
28-07-2010,"Islamabad, PakistanAirblue",Airbus,152
28-07-2010,"Near Elmendorf AFB, AlaskaMilitary - US Air Force",McDonnell,4
01-08-2010,"Near Denali National Park, AlaskaAll West Freight",Fairchild,3
03-08-2010,"Igarka, RussiaKatekavia Airline",,12
09-08-2010,"Near Dillingham, AlaskaGCI Communications Corp.",de,5
16-08-2010,"San Andreas Island, ColombiaAIRES Colombia",Boeing,2
21-08-2010,"Off Kaminshak Bay, AlaskaBranch River Air Service",de,4
24-08-2010,"Bastipur, NepalAgni Air",Dornier,14
24-08-2010,"Yichun, ChinaHenan Airlines",Embraer,44
25-08-2010,"Bandundu, Congo Democratic RepublicFilair",Let,19
27-08-2010,"Buena Vista, VenezuelaMilitary - Venezuelan National Guard",Mi,10
03-09-2010,"Dubai, United Arab EmiratesUnited Parcel Service- UPS",Boeing,2
04-09-2010,Fox Glacier AirstripSky Dive New Zealand,Fletcher,9
13-09-2010,"Puerto Ordaz, VenezuelaConviasa Airline",ATR,17
21-09-2010,"Chopan district, Zabul Province, AfghanistanInternational Security Assistance Force",Sikorsky,10
