date,location,state,airline,aircraft_brand,no_deaths,no_survivors,no_ground_casualties
03-02-1921,Mendotta, Minnisota,US Aerial Mail Service,De,1,0,0
09-02-1921,La Crosse, Wisconsin,US Aerial Mail Service,Junkers,3,0,0
15-02-1921,neznama,neznama,Aeropostale,Breguet,2,0,0
22-02-1921,Elko, Nevada,US Aerial Mail Service,De,1,0,0
06-04-1921,Point Cook, Australia,Military - Royal Australian Air Force,,2,0,0
21-04-1921,Mitchel Field, NY,US Aerial Mail Service,De,1,0,0
29-04-1921,Cleveland, Ohio,US Aerial Mail Service,De,1,0,0
17-05-1921,Rock Springs, Wyoming,US Aerial Mail Service,De,1,0,0
14-08-1921,Toulouse, France,Aeropostale,Breguet,2,0,0
24-08-1921,River Humber, England,Military - Royal Airship Works,Royal,43,6,1
06-09-1921,Paris, France,Franco-Roumaine,Potez,5,0,0
05-12-1921,Near Murchinson River, Australia,West Australian Airways,Bristol,2,0,0
14-01-1922,Paris, France,Handley Page Transport,Handley,5,0,5
21-02-1922,Near Norfolk, Virginia,Military - U.S. Army Air Service,Dirigible,34,11,0
22-03-1922,neznama,neznama,Aero Limited,Aeromarine,5,1,0
07-04-1922,Grandvilliers, France,Daimler Airways / Grands Express Aeriens,de,7,0,0
08-04-1922,Pao Ting Fou, China,?,??,17,0,0
03-06-1922,neznama,neznama,Cie des Messageries Aeriennes,Bleriot,3,0,0
04-07-1922,Fuhlsbuttel, Germany,?,LVG,2,1,0
16-07-1922,neznama,neznama,Compagnie Franco-Roumaine de Navigaation Aerienne,Potez,5,0,0
26-07-1922,Cadix, Spain,Grands Express Aeriens,Breguet,3,0,0
07-09-1922,Indianapolis, Indiana,US Aerial Mail Service,De,1,0,0
02-10-1922,Venice, Italy,de Havilland Air Service,de,4,0,0
25-10-1922,Larache, Morocco,Grands Express Aeriens,Breguet,2,0,0
03-12-1922,Fez, Morocco,Grands Express Aeriens,Breguet,1,0,0
10-01-1923,Ajaccio, France,Amee de l'Air,Lioré-et-Olivier,3,1,0
17-01-1923,Barcelona, Spain,Grands Express Aeriens,Breguet,1,0,0
18-01-1923,Cheyenne, Wyoming,US Aerial Mail Service,De,1,0,0
26-02-1923,Meadville, Pennsylvania,US Aerial Mail Service,De,1,0,0
14-05-1923,neznama,neznama,Grands Express Aeriens (Air Union),Farman,6,0,0
27-08-1923,East Mallling, United Kingdom,Air Union,Farman,1,10,0
27-08-1923,Bucharest, Romania,Campagnie France Roumaine,Blériot,2,0,0
07-09-1923,Colton, Ohio,US Aerial Mail Service,De,1,0,0
14-09-1923,neznama,neznama,Daimler Airways,de,5,0,0
18-11-1923,neznama,neznama,CCCP,Junkers,3,2,0
06-12-1923,Castalia, Ohio,US Aerial Mail Service,De,1,0,0
23-12-1923,neznama,neznama,Military - French Navy,Zeppelin,52,0,0
24-12-1923,Egbert, WY,US Aerial Mail Service,De,1,0,0
07-03-1924,Grampian, Pennsylvania,US Aerial Mail Service,De,1,0,0
24-04-1924,neznama,neznama,KLM Royal Dutch Airlines,Fokker,3,0,0
08-06-1924,Barranquilla, Colombia,SCADTA,Junkers,5,0,0
01-08-1924,neznama,neznama,US Aerial Mail Service,De,1,0,0
06-11-1924,Cabrerolles, France,Grands Express Aeriens,Breguet,1,0,0
21-12-1924,Goshen, Indiana,US Aerial Mail Service,De,1,0,0
24-12-1924,Purley, England,Imperial Airways,de,8,0,0
22-03-1925,neznama,neznama,Zakavia,Junkers,5,0,0
25-04-1925,Alicante, Spain,Grands Express Aeriens,Breguet,3,0,0
25-06-1925,Landrécies, France,KLM Royal Dutch Airlines,Fokker,4,0,0
26-06-1925,Alicante, Spain,Grands Express Aeriens,Lioré-et-Olivier,2,0,0
20-07-1925,Rosas, Spain,Lignes Aeriennes Latecoere,Breguet,1,0,0
24-07-1925,Budapest, Hungary,CIDNA,Potez,1,0,0
03-09-1925,Caldwell, Ohio,Military - U.S. Navy,Dirigible,14,29,0
07-09-1925,Toul, France,CIDNA,Spad,0,0,0
01-10-1925,Mt. Nittany, Ohio,US Aerial Mail Service,De,1,0,0
14-11-1925,Nouadhibou, Mauritania,Lignes Aeriennes Latecoere,Breguet,1,0,0
14-11-1925,Off Boulogne-sur-Mer, France,Air Union,Farman,2,0,0
12-02-1926,Montpelier, Ohio,US Aerial Mail Service,Curtiss,1,0,0
08-03-1926,Staaken, Germany,Deutche Lufthansa,Junkers,1,0,0
31-05-1926,neznama,neznama,Air Union,Breguet,1,0,0
03-07-1926,Rossaugpt, Czechoslovakia,Compagnie Internationale de Navigation Aérienne,Caudron,6,0,0
09-07-1926,Wolvertem, Belgium,KLM Royal Dutch Airlines,Fokker,2,0,0
24-07-1926,Juist, Germany,Deutsche Lufthansa,Junkers,5,0,0
18-08-1926,neznama,neznama,Air Union,Bleriot,3,12,0
26-09-1926,New York, New York,?,Sikorsky,2,3,0
02-10-1926,neznama,neznama,Air Union,Bleriot,7,0,0
08-10-1926,Bueren, Germany,Deutsche Lufthansa,Fokker,4,0,0
21-10-1926,neznama,neznama,Imperial Airways,Handley,0,12,0
11-11-1926,Cape Bojador, Morocco,Grands Express Aeriens,Breguet,3,0,0
16-12-1926,Medford, Oregon,Pacific Air Transport,Ryan,1,0,0
12-01-1927,Estaires, France,Fokker,Fokker,0,0,0
20-03-1927,Rabat, Morocco,Grands Express Aeriens,Breguet,1,0,0
24-03-1927,neznama,neznama,Qantas,de,3,0,0
15-04-1927,King Hill, Idaho,Varney Air Lines,"Swallow
Swallow?",1,0,0
22-04-1927,Floh, Germany,Deutsche Lufthansa,Fokker,2,0,0
22-04-1927,Goshen, Indiana,US Aerial Mail Service,Douglas,1,0,0
02-05-1927,Algiers, Algeria,Air Union,SPCA,1,2,0
27-07-1927,Amoneburg, Germany,Deutsche Lufthansa,Junkers,5,0,0
22-08-1927,Sevenoaks, England,KLM Royal Dutch Airlines,Fokker,1,10,0
03-09-1927,Willington, Connecticut,Colonial Air Transport,Fokker,1,0,0
17-09-1927,Hadley, New Jersey,Reynolds Airways,Fokker,7,5,0
17-09-1927,neznama,neznama,Private,Fokker,3,0,0
23-09-1927,Schleiz, Germany,Deutsche Lufthansa,Dornier,6,0,0
06-10-1927,Thies, Mauritania,Lignes Aeriennes Latecoere,Breguet,2,0,0
30-10-1927,New Brunswick, New Jersey,Colonial Air Transport,Fairchild,4,0,0
08-11-1927,Strasburg, France,CIDNA,Farman,1,0,0
16-11-1927,neznama,neznama,Aero O-Y,Junkers,6,0,0
29-11-1927,Corunna, Indiana,National Air Transport,Douglas,1,0,0
28-12-1927,Almeria, Spain,Aeropostale,Breguet,1,0,0
31-12-1927,Near Marseille,France,Latecoere Airlines,Latécoère,5,0,0
08-01-1928,Near Canajoharie, New York,Colonial Western Airlines,Fairchild,3,0,0
16-01-1928,Solis, Uruguay,Aeropostale,Latecoere,2,0,0
22-01-1928,L'Hospitalet, Ariège,Aeropostale,Breguet,1,0,0
22-01-1928,Tarragona, Spain,Aeropostale,Breguet,2,0,0
27-01-1928,Almeria, Spain,Aeropostale,Breguet,1,0,0
26-02-1928,Marquette, Nebraska,Boeing Air Transport,Boeing,1,1,0
11-03-1928,Off Cape Griz Nez, France,Air Union,Farman,2,0,0
17-04-1928,Federal, Wyoming,Boeing Air Transport,Boeing,1,1,0
19-04-1928,Minuesa, Spain,Iberia Airlines,Rohrbach,9,0,0
07-05-1928,neznama,neznama,Aeropostale,Latecoere,1,4,0
12-05-1928,Dearborn, Minnesota,Ford Air Freight Inc.,Ford,2,0,0
26-05-1928,Radevormwald, Germany,Deutsche Lufthansa,Junkers,3,2,0
14-06-1928,Frankfurt, Germany,Deutsche Lufthansa,AEGKD-74,5,0,0
22-06-1928,Lebo, Kansas,National Air Transport,Douglas,1,0,0
10-07-1928,neznama,neznama,Aero O-Y,Junkers,6,0,0
13-07-1928,Purley, England,Imperial Airways,Vickers,4,2,0
24-07-1928,Waalhaven, Netherlands,KLM Royal Dutch Airlines,Fokker,1,5,0
25-08-1928,neznama,neznama,British Columbia Airways,Ford,7,0,0
02-09-1928,Toul, France,CIDNA,Bleriot,5,0,0
04-09-1928,Adelaide Hills, Australia,Qantas,de,1,1,0
04-09-1928,Pocatello, Idaho,National Parks Airways,Fokker,7,0,0
06-09-1928,Heroldbach, Germany,Deutsche Lufthansa,Fokker,3,0,0
04-10-1928,Gerona, Spain,Aeropostale,Breguet,3,0,0
18-10-1928,Polk, Pennsylvania,National Air Transport,Douglas,1,0,0
31-10-1928,Valence, France,Air Union,Bleriot,1,1,0
15-11-1928,neznama,neznama,Aeropostale,Latecoere,1,2,0
24-11-1928,Edgerton, Ohio,Universal Airlines,Hamilton,3,0,0
25-11-1928,Edgerton, Ohio,Continental Air Lines,Travel,1,0,0
25-11-1928,Bristolville, Ohio,National Air Transport,Douglas,1,0,0
01-12-1928,Spur, Texas,Sunbeam Air Transport Co.,Ford,5,0,0
03-12-1928,Near Rio de Janeiro,Brazil,Syndicato Condor,Dornier,14,0,0
10-12-1928,Spokan, Washington,Spokane Airways,Ford,5,0,0
11-12-1928,Letzlingen, Germany,Deutsche Lufthansa,Junkers,3,1,0
20-12-1928,Huron, Ohio,National Air Transport,Douglas,1,0,0
23-12-1928,Chattanooga, Tennessee,Interstate Airlines,Fairchild,4,0,0
31-12-1928,Reims, France,CIDNA,Blériot,2,1,0
05-01-1929,Stafford Springs, Connecticut,Colonial Air Transport,Fairchild,1,0,0
18-01-1929,Cove, Oregon,Varney Air Lines,Stearman,1,0,0
25-01-1929,Near Corfu, Greece,Aeroespresso,CMASA,2,7,0
31-01-1929,neznama,neznama,Aeropostale,Latecoere,2,0,0
31-01-1929,Morgantown, West Virginia,Skyline Transportation Company,Travel,1,0,0
17-03-1929,Newark, New Jersey,Colonial Western Airlines,Ford,14,1,0
30-03-1929,Near Beaumont, California,New Standard Airlines,Fokker,4,0,0
21-04-1929,San Diego, California,Maddux Airlines / Military - U.S.Army Air Force,Ford,6,0,0
09-05-1929,Tampico, Mexico,Mexicana,Ford,5,0,0
18-05-1929,Tököl,  Pest Hungary,MALERT,Fokker,2,0,0
22-05-1929,neznama,neznama,Aeropostale,Cams,4,2,0
13-06-1929,Santiago de Cuba, Cuba,Pan American Airways,Fokker,2,3,0
14-06-1929,Barcelona, Spain,Aeropostale,Breguet,1,1,0
17-06-1929,Off Dungeness, England,Imperial Airways,Handley,7,6,0
24-06-1929,St. Paul, Minnesota,Northwest Orient Airlines,Ford,1,7,0
29-06-1929,neznama,neznama,Bodensee Aerolloyd,Domier,5,0,0
29-06-1929,Columbus, Ohio,Continental Air Lines,Travel,1,0,0
11-08-1929,Clovis, New Mexico,Middle States Airlines,Lockheed,4,0,0
24-08-1929,Sochi, Russia,Ukvozduchput,Kalinin,1,0,0
24-08-1929,Elm, Germany,Deutsche Lufthansa,Fokker,4,1,0
02-09-1929,Needles, California,Associated Aviators,Lockheed,1,1,0
03-09-1929,neznama,neznama,Trans Continental Air Transport,Ford,8,0,0
06-09-1929,Jask, Iran,Imperial Airways,de,3,2,0
14-09-1929,neznama,neznama,Aeropostale,Latecoere,6,0,0
14-09-1929,Saint Catharines, Ontario,Skyways,Travel,6,0,0
17-09-1929,Mt Lamentation, Connecticut,Colonial Air Transport,Pitcairn,1,0,0
17-09-1929,Off Larache, Morocco,Aeropostale,Latecoere,5,0,0
17-09-1929,Jacumba, California,Pickwick Airways,Fairchild,1,1,0
26-10-1929,Off Spezia, Italy,Imperial Airways,Short,7,0,0
29-10-1929,Mount Vernon, Ohio,Continental Air Lines,Stearman,1,0,0
31-10-1929,Off Bremerton, Washington,Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening,2,0,0
04-11-1929,Cerro del Carbon, Mexico,Corp. Aeronautica de Transportes,Lockheed,4,0,0
06-11-1929,neznama,neznama,Deutsche Lufthansa,Junkers,7,1,0
16-11-1929,Off Corsica, France,Air Union,Liore,3,0,0
20-11-1929,Terranova Pausania, East Sardinia,S.A.M. Società Aerea Mediterranea,Savoia,1,11,0
30-11-1929,Vancouver, Washington,Varney Air Lines,Stearman,1,0,0
02-12-1929,Chagrin Falls, Ohio,National Air Transport,Douglas,1,0,0
19-12-1929,Near Berlin, Germany,Deutsche Lufthansa,Arado,2,1,0
30-12-1929,Amarillo, Texas,Trans Continental Air Transport,Travel,5,0,0
10-01-1930,Brawnson, Nebraska,Boeing Air Transport,Boeing,1,0,0
13-01-1930,Antananarivo, Madagascar,Air Orient,Farman,3,0,0
19-01-1930,Oceanside, California,Maddux Airlines,Ford,16,0,0
25-01-1930,Off Ceuta, Spain,Aeropostale,Latecoere,2,0,0
27-01-1930,Kansas City, Missouri,Central  Airlines (Universal Aviation Corporation),Travel,5,0,0
03-02-1930,Hartford, Connecticut,Colonial Air Transport,Pitcairn,1,0,0
10-02-1930,Marden, England,Air Union,Farman,2,4,0
18-04-1930,Jersey City, New Jersey,Canadian Colonial Airways,Fairchild,4,0,0
10-05-1930,Buenos Aires, Argentina,Aeropostale,Latecoere,3,1,0
05-06-1930,Boston, Massachusetts,Colonial Air Transport,Ford,1,14,0
07-07-1930,Bornholm, Denmark,Deutsche Lufthansa,Dornier,5,3,0
10-07-1930,Arkansas Pass, Texas,Cross Airways,Lockheed,5,0,0
21-07-1930,neznama,neznama,Walcot Air Line,Junkers,6,0,0
22-08-1930,Iglau, Czechoslovakia,Ceskoslovenske Aerolinie,Ford,10,1,0
11-09-1930,Croydon, England,Sabena,Sabca,2,0,0
25-09-1930,neznama,neznama,Western Canada Airways,Boeing,3,0,0
05-10-1930,Near Beauvais, France,Military - British Air Ministry,Royal,48,6,0
06-10-1930,Dresden, Germany,Deutsche Lufthansa,Messerschmitt,8,0,0
12-10-1930,La Rache, Morocco,Aeropostale,Latecoere,4,0,0
13-10-1930,Perth, Australia,Wings Ltd,de,0,0,0
28-10-1930,neznama,neznama,Alaska-Washington Airways,Lockheed,3,0,0
30-10-1930,Near Neufchatel, France,Imperial Airways,Handley,3,3,0
30-10-1930,Brookston, Indiana,Embry Riddle Company,Pitcairn,1,0,0
07-11-1930,Off of Santos, Brazil,Syndicato Condor,Junkers,1,8,0
18-11-1930,Techachapi Mountains, California,Pacific Air Transport,Boeing,0,0,0
