jméno,rok vydání,režisér,hlavní herci
Jai Bhim,2021,T.J. Gnanavel ,"[' Suriya', ' Lijo Mol Jose']"
Duna,2021,Denis Villeneuve ,"[' Timothée Chalamet', ' Rebecca Ferguson']"
Drishyam 2,2021,Jeethu Joseph ,"[' Mohanlal', ' Meena']"
Hamilton,2020,Thomas Kail ,"[' Lin-Manuel Miranda', ' Phillipa Soo']"
The Father,2020,Florian Zeller ,"[' Anthony Hopkins', ' Olivia Colman']"
Parazit,2019,Bong Joon Ho ,"[' Kang-ho Song', ' Sun-kyun Lee']"
Joker,2019,Todd Phillips ,"[' Joaquin Phoenix', ' Robert De Niro']"
Avengers: Endgame,2019,Anthony Russo ,"[' Robert Downey Jr.', ' Chris Evans']"
1917,2019,Sam Mendes ,"[' Dean-Charles Chapman', ' George MacKay']"
Klaus,2019,Sergio Pablos ,"[' Jason Schwartzman', ' J.K. Simmons']"
Le Mans '66,2019,James Mangold ,"[' Matt Damon', ' Christian Bale']"
Avengers: Infinity War,2018,Anthony Russo ,"[' Robert Downey Jr.', ' Chris Hemsworth']"
Spider-Man: Paralelní světy,2018,Bob Persichetti ,"[' Shameik Moore', ' Jake Johnson']"
Capharnaüm,2018,Nadine Labaki ,"[' Zain Al Rafeea', ' Yordanos Shiferaw']"
Zelená kniha,2018,Peter Farrelly ,"[' Viggo Mortensen', ' Mahershala Ali']"
Andhadhun,2018,Sriram Raghavan ,"[' Ayushmann Khurrana', ' Tabu']"
96,2018,C. Prem Kumar ,"[' Vijay Sethupathi', ' Adithya Bhaskar']"
Coco,2017,Lee Unkrich ,"[' Anthony Gonzalez', ' Gael García Bernal']"
Tři billboardy kousek za Ebbingem,2017,Martin McDonagh ,"[' Frances McDormand', ' Woody Harrelson']"
Logan: Wolverine,2017,James Mangold ,"[' Hugh Jackman', ' Patrick Stewart']"
Kimi no na wa.,2016,Makoto Shinkai ,"[' Ryûnosuke Kamiki', ' Mone Kamishiraishi']"
Dangal,2016,Nitesh Tiwari ,"[' Aamir Khan', ' Sakshi Tanwar']"
Hacksaw Ridge: Zrození hrdiny,2016,Mel Gibson ,"[' Andrew Garfield', ' Sam Worthington']"
Komorná,2016,Park Chan-Wook ,"[' Kim Min-hee', ' Ha Jung-woo']"
Koe no katachi,2016,Naoko Yamada ,"[' Miyu Irino', ' Saori Hayami']"
V hlavě,2015,Pete Docter ,"[' Amy Poehler', ' Bill Hader']"
Pokoj,2015,Lenny Abrahamson ,"[' Brie Larson', ' Jacob Tremblay']"
Šílený Max 4: Zběsilá cesta,2015,George Miller ,"[' Tom Hardy', ' Charlize Theron']"
Spotlight,2015,Tom McCarthy ,"[' Mark Ruffalo', ' Michael Keaton']"
Interstellar,2014,Christopher Nolan ,"[' Matthew McConaughey', ' Anne Hathaway']"
Whiplash,2014,Damien Chazelle ,"[' Miles Teller', ' J.K. Simmons']"
Divoké historky,2014,Damián Szifron ,"[' Darío Grandinetti', ' María Marull']"
Grandhotel Budapešť,2014,Wes Anderson ,"[' Ralph Fiennes', ' F. Murray Abraham']"
Zmizelá,2014,David Fincher ,"[' Ben Affleck', ' Rosamund Pike']"
Vlk z Wall Street,2013,Martin Scorsese ,"[' Leonardo DiCaprio', ' Jonah Hill']"
Zmizení,2013,Denis Villeneuve ,"[' Hugh Jackman', ' Jake Gyllenhaal']"
12 let v řetězech,2013,Steve McQueen ,"[' Chiwetel Ejiofor', ' Michael Kenneth Williams']"
Rivalové,2013,Ron Howard ,"[' Daniel Brühl', ' Chris Hemsworth']"
Nespoutaný Django,2012,Quentin Tarantino ,"[' Jamie Foxx', ' Christoph Waltz']"
Temný rytíř povstal,2012,Christopher Nolan ,"[' Christian Bale', ' Tom Hardy']"
Hon,2012,Thomas Vinterberg ,"[' Mads Mikkelsen', ' Thomas Bo Larsen']"
Gangs of Wasseypur,2012,Anurag Kashyap ,"[' Manoj Bajpayee', ' Richa Chadha']"
Nedotknutelní,2011,Olivier Nakache ,"[' François Cluzet', ' Omar Sy']"
Rozchod Nadera a Simin,2011,Asghar Farhadi ,"[' Payman Maadi', ' Leila Hatami']"
Warrior,2011,Gavin O'Connor ,"[' Tom Hardy', ' Nick Nolte']"
Harry Potter a Relikvie smrti - část 2,2011,David Yates ,"[' Daniel Radcliffe', ' Emma Watson']"
Počátek,2010,Christopher Nolan ,"[' Leonardo DiCaprio', ' Joseph Gordon-Levitt']"
Požáry,2010,Denis Villeneuve ,"[' Lubna Azabal', ' Mélissa Désormeaux-Poulin']"
Toy Story 3: Příběh hraček,2010,Lee Unkrich ,"[' Tom Hanks', ' Tim Allen']"
Prokletý ostrov,2010,Martin Scorsese ,"[' Leonardo DiCaprio', ' Emily Mortimer']"
Jak vycvičit draka,2010,Dean DeBlois ,"[' Jay Baruchel', ' Gerard Butler']"
3 Idiots,2009,Rajkumar Hirani ,"[' Aamir Khan', ' Madhavan']"
Hanebný pancharti,2009,Quentin Tarantino ,"[' Brad Pitt', ' Diane Kruger']"
Vzhůru do oblak,2009,Pete Docter ,"[' Ed Asner', ' Jordan Nagai']"
Tajemství jejich ocí,2009,Juan José Campanella ,"[' Ricardo Darín', ' Soledad Villamil']"
Mary a Max,2009,Adam Elliot ,"[' Toni Collette', ' Philip Seymour Hoffman']"
Hačikó - příběh psa,2009,Lasse Hallström ,"[' Richard Gere', ' Joan Allen']"
Temný rytíř,2008,Christopher Nolan ,"[' Christian Bale', ' Heath Ledger']"
Vall-I,2008,Andrew Stanton ,"[' Ben Burtt', ' Elissa Knight']"
Gran Torino,2008,Clint Eastwood ,"[' Clint Eastwood', ' Bee Vang']"
Jako hvězdy na Zemi,2007,Aamir Khan ,"[' Darsheel Safary', ' Aamir Khan']"
Až na krev,2007,Paul Thomas Anderson ,"[' Daniel Day-Lewis', ' Paul Dano']"
Tahle země není pro starý,2007,Ethan Coen ,"[' Tommy Lee Jones', ' Javier Bardem']"
Útěk do divočiny,2007,Sean Penn ,"[' Emile Hirsch', ' Vince Vaughn']"
Skrytá identita,2006,Martin Scorsese ,"[' Leonardo DiCaprio', ' Matt Damon']"
Dokonalý trik,2006,Christopher Nolan ,"[' Christian Bale', ' Hugh Jackman']"
Životy těch druhých,2006,Florian Henckel von Donnersmarck ,"[' Ulrich Mühe', ' Martina Gedeck']"
Faunův labyrint,2006,Guillermo del Toro ,"[' Ivana Baquero', ' Ariadna Gil']"
